Compiled on Saturday, 28 June 2025 11:03:52 a.m.
Version string: SE2025.0.250627.18.07.EX

ImageFrame Data Size: 1178
Actor Count: 7
Actor Data Size: 1260
Animations Count: 17
Animations Data Size: 272
AnimationFrame Count: 56
AnimationFrame Data Size: 896

=== Data Sizes ===
    Size | Crunch | Detail
   17582 |        | MDS PCM file
   12852 |        | Project virtual machine (codeblocks)
   10362 |        | Panel 
    8768 |        | Streamed project patterns
    8236 |        | Panel md_parallax
    8202 |        | MDS Bin file
    3360 |        | Tile data for map level09 (mem restrictions:None)
    3262 |        | Project Header
    2128 |        | Map animation data forlevel07
    2128 |        | Map animation data forlevel09
    2048 |        | Default MD font
    1260 |        | Project actors
    1178 |        | Images
    1120 |        | Tile data for map level00 (mem restrictions:None)
    1120 |        | Tile data for map level01 (mem restrictions:None)
    1120 |        | Tile data for map level02 (mem restrictions:None)
    1120 |        | Tile data for map level03 (mem restrictions:None)
    1120 |        | Tile data for map level04 (mem restrictions:None)
    1120 |        | Tile data for map level05 (mem restrictions:None)
    1120 |        | Tile data for map level06 (mem restrictions:None)
    1120 |        | Tile data for map level07 (mem restrictions:None)
    1120 |        | Tile data for map level08 (mem restrictions:None)
    1120 |        | Tile data for map level10 (mem restrictions:None)
    1120 |        | Tile data for map level11 (mem restrictions:None)
    1120 |        | Tile data for map level12 (mem restrictions:None)
    1120 |        | Tile data for map level99 (mem restrictions:None)
    1064 |        | Map animation data forlevel01
    1064 |        | Map animation data forlevel02
    1064 |        | Map animation data forlevel03
    1064 |        | Map animation data forlevel04
    1064 |        | Map animation data forlevel05
    1064 |        | Map animation data forlevel06
    1064 |        | Map animation data forlevel08
    1064 |        | Map animation data forlevel10
    1064 |        | Map animation data forlevel11
    1064 |        | Map animation data forlevel12
     896 |        | Animation Frames
     844 |        | Header data for map level00
     844 |        | Header data for map level01
     844 |        | Header data for map level02
     844 |        | Header data for map level03
     844 |        | Header data for map level04
     844 |        | Header data for map level05
     844 |        | Header data for map level06
     844 |        | Header data for map level07
     844 |        | Header data for map level08
     844 |        | Header data for map level09
     844 |        | Header data for map level10
     844 |        | Header data for map level11
     844 |        | Header data for map level12
     844 |        | Header data for map level99
     816 |        | Project blocks
     360 |        | Project name table
     288 |        | Dynamic pattern data for 2
     272 |        | Animations
     170 |  (94%) | Map tile data  level09
     150 |        | MDS Sequence file
     140 |        | Project sound
     108 |  (89%) | Map tile data  level11
      96 |  (90%) | Map tile data  level12
      88 |        | Project patterns
      88 |  (91%) | Map tile data  level07
      88 |        | Attack Data
      86 |  (91%) | Map tile data  level10
      86 |        | Var Data
      84 |        | Pattern data for 1
      80 |  (92%) | Map tile data  level00
      80 |        | Get Y lookup table level00
      80 |        | Get Y lookup table level01
      80 |        | Get Y lookup table level02
      80 |        | Get Y lookup table level03
      80 |        | Get Y lookup table level04
      80 |        | Get Y lookup table level05
      80 |        | Get Y lookup table level06
      80 |        | Get Y lookup table level07
      80 |        | Get Y lookup table level08
      80 |        | Get Y lookup table level09
      80 |        | Get Y lookup table level10
      80 |        | Get Y lookup table level11
      80 |        | Get Y lookup table level12
      80 |        | Get Y lookup table level99
      78 |  (92%) | Map tile data  level06
      74 |  (92%) | Map tile data  level08
      70 |  (93%) | Map tile data  level03
      68 |  (93%) | Map tile data  level04
      64 |  (94%) | Map tile data  level01
      56 |  (94%) | Map tile data  level02
      56 |  (94%) | Map tile data  level99
      54 |  (95%) | Map tile data  level05
      48 |  (95%) | Map block data for level11
      44 |        | Map event data for level00
      44 |        | Map event data for level01
      44 |        | Map event data for level02
      44 |        | Map event data for level03
      44 |        | Map event data for level04
      44 |        | Map event data for level05
      44 |        | Map event data for level06
      44 |        | Map event data for level07
      44 |        | Map event data for level08
      44 |        | Map event data for level09
      44 |        | Map event data for level10
      44 |        | Map event data for level11
      44 |        | Map event data for level12
      44 |        | Map event data for level99
      42 |        | Pattern data for 3
      42 |  (99%) | Map block data for level09
      40 |  (96%) | Map block data for level07
      36 |        | Pattern data for 4
      36 |  (75%) | Map actor data for level09
      32 |  (97%) | Map block data for level10
      30 |        | Pattern data for 6
      30 |  (97%) | Map block data for level06
      30 |        | Pattern data for 8
      30 |        | Pattern data for 10
      28 |  (97%) | Map block data for level08
      28 |  (97%) | Map block data for level12
      26 |  (98%) | Map block data for level04
      24 |  (98%) | Map block data for level03
      24 |        | Pattern data for 5
      24 |        | Pattern data for 7
      24 |        | Pattern data for 9
      24 |        | Pattern data for 11
      24 |        | Pattern data for 12
      24 |        | Pattern data for 13
      22 |  (98%) | Map block data for level01
      22 |  (61%) | Map actor data for level03
      22 |  (98%) | Map block data for level05
      20 |  (65%) | Map actor data for level01
      20 |  (65%) | Map actor data for level02
      20 |  (65%) | Map actor data for level04
      20 |  (65%) | Map actor data for level05
      20 |  (65%) | Map actor data for level06
      20 |  (65%) | Map actor data for level07
      20 |  (65%) | Map actor data for level08
      20 |  (65%) | Map actor data for level10
      20 |  (65%) | Map actor data for level11
      20 |  (65%) | Map actor data for level12
      16 |  (99%) | Map block data for level02
      12 |        | Map path node data for level00
      12 |  (58%) | Map actor data for level00
      12 |  (99%) | Map block data for level00
      12 |        | Map path node data for level01
      12 |        | Map path node data for level02
      12 |        | Map path node data for level03
      12 |        | Map path node data for level04
      12 |        | Map path node data for level05
      12 |        | Map path node data for level06
      12 |        | Map path node data for level07
      12 |        | Map path node data for level08
